Application_order,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
1,1,178.0,174.7,0,0,1,0,0,0,7,7,17.125,0,8,8,17.5875,0
5,1,129.0,128.8,1,0,1,0,0,0,7,6,12.666666666666666,0,7,6,12.666666666666666,0
6,1,116.0,110.1,1,0,1,0,1,0,6,6,12.666666666666666,0,6,5,12.0,0
3,1,135.0,121.0,1,0,1,0,1,0,6,6,11.333333333333334,0,6,6,11.5,0
3,1,141.0,131.7,1,0,1,0,1,0,7,7,13.605,0,8,8,12.33125,0
5,1,132.0,119.1,1,0,1,0,1,0,6,5,12.0,0,6,5,10.8,0
4,1,132.0,124.7,1,0,1,0,0,0,5,0,0.0,0,5,0,0.0,1
1,1,113.0,117.2,1,0,1,0,0,0,6,5,11.2,0,6,3,11.666666666666666,1
1,1,134.0,128.8,0,0,1,0,0,0,5,5,13.375,0,5,5,14.166666666666666,0
1,1,136.0,131.5,0,0,1,0,1,0,7,6,13.863333333333337,0,8,7,14.178571428571429,0
1,1,129.0,123.4,0,0,1,0,0,0,5,5,12.4,0,5,5,13.4,0
1,1,137.0,132.8,1,0,1,0,0,0,6,6,13.333333333333334,0,6,5,11.8,0
1,1,115.0,108.7,1,0,1,0,0,0,6,3,12.666666666666666,0,6,3,10.0,1
1,1,129.0,138.1,0,0,1,0,0,0,6,6,12.0,0,6,4,11.5,1
1,1,131.0,126.5,0,0,1,0,1,0,5,5,10.6,0,5,5,11.8,0
2,1,133.0,127.4,1,0,1,0,1,0,6,6,12.25,0,6,6,11.857142857142858,0
3,1,125.0,123.6,1,0,1,0,0,0,6,4,11.0,0,6,6,11.833333333333334,0
1,0,120.0,122.0,0,0,1,0,1,0,6,5,11.0,0,6,5,12.6,0
1,1,128.0,118.2,0,0,1,0,0,0,6,6,13.166666666666666,0,6,6,13.0,1
1,1,127.0,123.9,1,0,1,0,1,0,7,7,12.855555555555554,0,8,7,12.761111111111113,0
2,1,134.0,125.8,1,0,1,0,0,0,7,7,14.91875,0,8,8,15.355,0
5,1,132.0,123.3,1,0,1,0,0,0,6,4,11.5,0,6,3,11.0,1
2,1,124.0,124.4,0,0,1,0,0,0,5,5,14.2,0,5,5,14.2,0
1,1,133.1,126.0,0,0,1,0,1,0,6,6,12.5,0,6,6,13.0,0
3,1,125.0,121.5,0,0,1,0,0,0,6,5,11.666666666666666,0,6,4,11.0,0
1,1,130.0,130.0,0,0,1,0,0,1,8,7,14.257142857142856,1,8,7,14.257142857142856,0
1,1,125.0,117.0,1,0,1,0,0,0,6,3,12.0,0,6,2,11.333333333333334,1
2,1,133.1,108.0,0,0,1,0,0,0,7,7,12.457142857142856,0,8,8,13.5625,0
1,1,131.0,132.3,1,0,1,0,0,0,7,6,11.683333333333332,0,7,6,11.683333333333332,0
1,0,150.0,148.0,0,0,1,0,0,0,6,3,11.666666666666666,0,6,5,12.0,0
2,1,125.0,122.6,1,1,0,0,0,0,6,4,11.75,0,6,6,13.166666666666666,1
1,1,130.0,102.5,0,0,1,0,0,0,6,5,13.2,0,6,5,12.0,0
2,1,123.0,113.3,1,0,1,0,0,0,7,4,11.95,0,7,4,11.95,1
5,1,141.0,133.0,1,0,1,0,0,0,6,5,12.4,0,6,5,10.4,1
1,1,140.0,140.0,0,0,1,0,0,2,7,6,14.35,3,8,6,14.583333333333334,1
1,1,140.0,128.3,1,0,1,0,0,19,21,21,12.61904761904762,13,19,19,12.789473684210526,0
1,1,133.1,104.0,0,1,0,0,0,0,6,5,12.0,0,6,0,0.0,1
3,1,131.0,122.3,1,0,0,0,0,0,6,6,12.166666666666666,0,6,0,0.0,1
2,1,143.0,135.0,0,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
2,1,132.0,119.1,1,1,0,0,0,0,5,3,10.0,0,5,3,10.571428571428571,1
3,1,141.0,129.0,1,0,1,0,1,0,7,6,13.05,0,7,6,13.05,0
1,1,133.1,162.3,1,0,1,0,0,0,6,2,11.0,0,6,0,0.0,1
4,1,148.0,163.4,1,0,1,0,0,0,6,6,11.5,0,6,6,12.0,0
1,1,125.0,121.5,0,0,1,0,1,0,6,6,12.0,0,6,6,12.5,0
1,1,140.0,118.0,1,0,1,0,0,0,5,0,0.0,0,5,0,0.0,1
1,1,139.0,134.0,0,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
4,1,142.0,129.8,1,0,1,0,0,0,8,7,12.242857142857144,0,8,7,12.242857142857144,0
1,0,130.0,152.0,1,0,1,0,0,0,5,0,0.0,0,5,0,0.0,1
6,1,126.0,122.8,1,0,1,0,0,0,8,8,12.93375,0,8,8,12.93375,0
1,1,150.0,150.0,0,0,1,0,0,0,5,0,0.0,0,5,0,0.0,1
1,1,130.0,131.8,0,0,1,0,0,0,7,7,12.571428571428571,0,7,7,14.428571428571429,0
1,1,138.0,132.1,1,0,1,0,0,0,5,4,13.75,0,5,4,14.333333333333334,0
4,1,127.0,127.4,1,0,1,0,0,0,6,6,11.166666666666666,0,6,6,11.333333333333334,0
4,1,140.0,129.5,1,0,1,0,0,0,8,7,12.324285714285711,0,8,7,12.324285714285711,0
1,1,130.0,126.7,0,1,1,0,0,3,6,6,12.166666666666666,2,6,6,11.714285714285714,0
2,1,128.0,116.5,0,0,1,0,1,0,6,5,11.142857142857142,0,6,4,11.25,0
1,1,132.0,119.1,1,0,1,0,0,0,6,4,11.0,0,6,4,10.75,0
2,1,149.0,126.5,1,0,1,0,0,0,8,7,12.914285714285713,0,8,7,12.914285714285713,0
4,1,155.0,149.8,1,0,1,0,1,0,6,6,13.833333333333334,0,6,6,14.166666666666666,0
1,1,120.0,115.1,1,0,1,0,0,0,6,6,13.857142857142858,0,6,5,13.4,0
1,1,133.1,124.5,0,0,1,0,1,0,6,6,13.714285714285714,0,6,5,12.8,1
2,1,131.0,128.3,1,0,1,0,1,0,8,7,12.642857142857142,0,8,7,12.642857142857142,0
1,1,149.0,136.0,0,0,1,0,1,0,7,6,12.916666666666666,0,7,6,12.916666666666666,0
1,1,140.0,140.0,1,0,1,0,1,0,6,6,15.625,0,6,6,15.857142857142858,0
1,0,133.1,126.3,0,0,1,0,1,0,5,0,0.0,0,5,0,0.0,1
1,1,122.0,126.9,0,0,1,0,0,0,6,6,11.714285714285714,0,6,6,12.0,0
1,1,121.0,115.8,1,0,1,0,1,0,5,5,11.6,0,5,5,11.6,0
1,0,120.0,100.0,1,0,1,0,0,0,6,1,10.0,0,6,0,0.0,1
1,0,133.1,102.5,0,0,1,0,1,0,6,1,10.0,0,6,0,0.0,1
1,1,121.0,131.5,0,0,1,0,0,0,5,0,0.0,0,5,2,13.5,1
1,1,133.0,147.0,0,0,1,0,1,0,5,4,13.0,0,5,3,12.333333333333334,0
4,1,134.0,122.5,0,0,1,0,1,0,6,6,13.333333333333334,0,6,6,14.5,0
3,1,115.0,117.5,1,0,1,0,0,0,6,4,11.25,0,6,2,12.5,1
1,1,127.0,150.0,0,0,1,0,1,0,7,5,13.85,0,8,7,12.19285714285714,0
1,1,135.0,127.5,1,0,1,0,1,0,7,6,13.741666666666667,0,8,7,14.9125,0
1,0,140.0,140.0,0,0,1,0,0,2,6,6,15.333333333333334,0,5,5,15.8,0
1,1,130.0,130.0,0,0,1,0,0,0,5,5,11.0,0,5,5,13.8,0
1,1,135.0,133.3,0,0,1,0,1,0,6,6,12.0,0,6,6,12.857142857142858,0
2,1,140.0,97.0,1,0,1,0,0,0,5,0,0.0,0,5,0,0.0,1
1,1,120.0,112.0,1,0,1,0,1,0,8,7,11.571428571428571,0,8,7,11.571428571428571,0
2,1,140.0,123.6,1,0,1,0,0,0,6,6,12.857142857142858,0,6,3,12.666666666666666,0
1,1,133.1,130.5,0,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
2,1,135.0,133.3,0,0,1,0,0,0,5,5,13.0,0,5,5,13.2,0
1,1,123.0,132.1,0,0,1,0,1,0,6,5,11.0,0,6,5,12.0,0
1,1,133.1,100.0,0,0,1,0,0,0,5,3,12.0,0,5,1,15.0,1
1,1,154.0,140.4,0,0,1,0,1,0,6,5,12.6,0,6,6,13.0,0
1,1,148.0,141.7,0,0,1,0,1,0,6,5,13.4,0,6,6,13.166666666666666,0
2,1,133.0,119.7,0,0,1,0,1,0,6,6,11.333333333333334,0,6,6,11.571428571428571,0
1,1,126.0,122.5,1,0,0,0,0,0,5,4,13.5,0,5,4,14.25,1
1,1,133.1,140.0,0,1,0,0,0,2,6,3,11.75,1,6,3,10.333333333333334,1
2,1,118.0,119.1,1,0,1,0,1,0,5,5,11.6,0,5,5,13.6,0
1,1,120.0,122.7,0,0,0,0,0,0,5,0,0.0,0,5,0,0.0,1
1,1,127.0,117.9,0,0,1,0,1,5,10,9,12.9,4,10,10,12.363636363636363,0
1,1,130.0,130.0,0,0,1,0,0,0,8,8,13.22,0,8,8,13.22,0
3,1,129.0,120.0,1,0,1,0,1,0,8,7,13.151428571428571,0,8,7,13.151428571428571,0
1,1,130.0,130.0,0,1,0,0,0,0,6,3,12.75,0,6,3,11.333333333333334,1
3,1,121.0,116.8,1,0,1,0,0,0,6,6,11.333333333333334,0,6,4,12.25,0
1,1,136.0,123.4,1,0,1,0,1,0,6,6,13.25,0,6,5,14.142857142857142,0
3,1,131.0,127.2,1,0,1,0,1,0,6,6,15.0,0,6,6,12.833333333333334,1
1,1,122.0,103.4,0,0,1,0,0,0,5,5,14.4,0,5,5,13.0,0
1,1,136.0,124.1,0,0,1,0,0,0,5,5,12.4,0,5,5,10.8,0
1,1,133.1,99.5,1,1,0,0,1,0,7,1,16.0,0,7,0,0.0,1
1,0,127.0,124.9,0,0,1,0,0,0,5,5,13.571428571428571,0,5,5,12.333333333333334,0
1,1,121.0,118.9,1,0,1,0,1,0,6,5,11.666666666666666,0,6,5,12.666666666666666,0
1,1,124.0,118.8,1,1,0,0,0,6,10,6,11.833333333333334,2,7,2,13.0,1
1,1,131.0,137.0,0,0,1,0,1,0,6,6,11.166666666666666,0,6,5,10.6,0
1,0,100.0,100.0,0,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
1,1,130.0,120.0,0,1,0,0,0,8,12,8,11.75,6,12,6,12.166666666666666,1
1,1,135.0,122.8,0,0,1,0,0,0,6,6,14.0,0,6,6,14.0,0
1,1,130.0,121.6,0,0,1,0,0,0,6,6,12.833333333333334,0,6,6,12.0,0
2,1,146.0,149.2,1,0,1,0,0,0,6,4,12.25,0,6,3,11.666666666666666,0
4,1,146.0,140.0,1,0,1,0,0,0,8,7,14.828571428571427,0,8,7,14.828571428571427,0
2,1,154.0,133.4,1,0,1,0,1,0,6,5,11.4,0,6,5,12.8,0
1,1,137.0,126.2,1,0,1,0,1,0,6,6,13.0,0,6,6,12.5,0
5,1,151.0,127.8,0,0,1,0,1,0,8,7,13.671428571428573,0,8,7,13.671428571428573,0
1,1,150.0,150.0,0,0,1,0,1,0,6,6,12.666666666666666,0,6,5,12.8,0
2,1,121.0,113.7,1,0,0,0,0,0,5,2,10.0,0,5,1,13.0,1
1,1,122.0,117.8,1,0,1,0,0,0,5,5,13.5,0,5,5,12.333333333333334,0
1,1,143.0,136.7,0,0,1,0,0,2,7,7,12.67,1,8,8,13.55,0
1,1,152.0,144.7,0,0,1,0,0,0,6,6,14.5,0,6,6,15.428571428571429,0
3,1,145.0,139.8,1,0,1,0,0,0,7,7,13.685714285714283,0,8,8,15.3875,0
1,1,120.0,113.7,0,0,1,0,0,0,6,5,11.0,0,6,3,10.666666666666666,1
1,1,140.0,140.0,0,1,0,0,0,7,9,7,11.555555555555555,5,7,5,13.2,1
1,1,129.0,119.6,1,0,1,0,1,0,7,7,14.00375,0,8,7,13.812857142857142,0
2,1,139.0,123.7,1,0,1,0,1,0,5,4,12.0,0,5,4,11.4,0
1,0,133.1,143.0,1,0,1,0,1,0,6,5,14.166666666666666,0,6,6,14.166666666666666,0
1,0,127.0,100.1,0,0,1,0,0,1,5,5,14.0,0,5,5,13.8,0
1,1,126.0,119.4,0,0,1,0,1,0,6,5,13.8,0,6,6,12.833333333333334,0
1,0,128.0,122.1,0,0,1,0,0,0,6,5,12.8,0,6,6,11.857142857142858,0
1,1,100.0,100.0,0,0,1,0,0,0,6,6,12.166666666666666,0,6,6,13.833333333333334,0
1,0,170.0,101.0,0,0,1,0,0,0,6,4,12.0,0,6,4,11.5,0
2,0,117.0,111.8,1,0,1,0,1,0,6,6,10.833333333333334,0,6,6,11.5,0
1,1,140.0,140.0,1,0,1,0,0,0,8,8,13.385,0,8,8,13.385,0
4,1,123.0,124.4,1,0,1,0,0,0,6,6,15.666666666666666,0,6,6,14.5,0
1,1,150.0,150.0,0,1,1,0,1,0,6,6,14.333333333333334,0,6,6,13.833333333333334,0
4,1,123.0,116.0,1,0,1,0,1,0,6,6,11.666666666666666,0,6,6,11.666666666666666,0
1,1,130.0,135.6,1,0,1,0,1,0,6,5,12.0,0,6,2,11.333333333333334,1
1,1,137.0,121.0,0,0,1,0,1,0,8,7,14.725714285714288,0,8,7,14.725714285714288,0
2,1,126.0,118.7,1,0,1,0,1,0,6,6,14.166666666666666,0,6,6,13.666666666666666,0
1,1,125.0,125.7,1,0,1,0,0,0,6,6,11.571428571428571,0,6,6,12.333333333333334,0
4,1,112.0,107.1,1,0,1,0,0,0,7,7,12.5,0,8,8,13.1375,0
1,1,141.0,125.5,0,0,1,0,0,0,8,8,12.86,0,8,8,12.86,0
4,1,135.0,127.0,1,0,1,0,0,0,6,6,12.25,0,6,6,13.714285714285714,0
2,1,117.0,113.5,1,0,1,0,1,0,5,4,12.0,0,5,5,12.2,0
1,1,160.0,154.4,0,0,1,0,1,0,7,7,15.116666666666667,0,8,8,16.168888888888887,0
1,1,136.0,122.0,0,1,0,0,0,0,5,2,12.5,0,5,4,10.25,1
2,1,143.0,128.0,1,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
4,1,120.0,117.2,1,0,1,0,0,0,6,6,11.875,0,6,4,14.6,0
1,1,150.0,150.0,1,0,1,0,0,1,5,1,11.0,0,5,0,0.0,1
3,1,142.0,155.3,0,0,1,0,0,0,5,5,15.2,0,5,5,13.2,0
1,1,120.0,120.0,1,1,0,0,0,2,6,5,11.6,1,6,2,11.0,1
1,1,160.0,116.1,0,1,1,0,0,0,6,6,14.833333333333334,0,6,6,15.142857142857142,0
1,1,133.1,118.9,1,0,1,0,0,0,6,3,11.333333333333334,0,6,3,11.333333333333334,1
2,1,142.0,127.3,0,0,1,0,1,0,5,5,11.2,0,5,5,11.8,0
4,1,121.0,113.7,1,0,1,0,1,0,6,5,13.4,0,6,5,13.666666666666666,0
1,1,135.0,118.5,0,0,1,0,0,0,5,2,10.5,0,5,0,0.0,1
1,1,153.0,146.7,0,0,1,0,0,0,5,5,16.2,0,5,5,16.4,0
1,1,140.0,124.3,1,0,1,0,1,0,7,7,14.542857142857144,0,8,8,14.88181818181818,0
1,1,152.0,137.8,0,0,1,0,0,0,7,7,13.694285714285714,0,8,8,14.355555555555554,0
1,1,120.0,130.2,0,0,1,0,1,0,6,6,11.285714285714286,0,6,6,11.857142857142858,0
1,1,150.0,150.0,0,1,0,0,0,0,3,0,0.0,0,6,0,0.0,1
1,1,100.0,100.0,1,0,1,0,1,0,8,7,13.058571428571428,0,8,7,13.058571428571428,0
1,1,150.0,155.6,0,0,1,0,0,0,7,7,14.3,0,8,8,14.055555555555555,0
4,1,124.0,117.4,0,0,1,0,0,3,10,5,11.8,4,10,8,12.0,0
1,1,121.0,117.5,1,0,1,0,0,0,6,6,10.571428571428571,0,6,3,11.666666666666666,0
1,1,134.0,120.4,1,0,1,0,0,0,7,6,13.333333333333334,0,7,6,13.333333333333334,0
1,1,134.0,130.9,0,1,1,0,0,0,6,6,11.857142857142858,0,6,5,11.0,0
1,1,151.0,151.0,0,1,1,0,0,0,5,0,0.0,0,5,0,0.0,1
1,1,107.0,103.5,1,0,1,0,0,0,6,6,12.0,0,6,6,13.0,0
1,0,126.0,119.4,0,0,1,0,0,0,6,6,12.666666666666666,0,6,6,11.666666666666666,0
1,1,133.0,134.4,1,0,1,0,1,0,6,6,12.166666666666666,0,6,6,13.666666666666666,0
1,1,140.0,143.0,0,0,1,0,0,3,6,6,13.333333333333334,2,6,6,14.666666666666666,0
1,1,110.0,110.0,0,1,1,0,0,0,7,7,15.0,0,7,7,14.571428571428571,0
4,1,141.0,132.5,1,0,1,0,1,0,8,8,13.39125,0,8,8,13.39125,0
1,1,122.0,114.7,0,0,1,0,0,0,6,5,12.166666666666666,0,6,6,12.428571428571429,0
1,1,156.0,166.9,0,0,1,0,0,0,5,4,11.25,0,5,4,12.5,0
1,1,188.0,178.3,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,1
1,0,120.0,117.0,1,0,1,0,0,0,6,6,12.833333333333334,0,6,6,12.857142857142858,0
