Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole
45,0.0,Travel_Rarely,Research & Development,20,Bachelor Degree,Medical,2,1,Healthcare Representative,1,Divorced,10851,2,Yes,18,2,1,2,3,7
45,0.0,Non-Travel,Sales,6,Bachelor Degree,Medical,4,2,Sales Executive,4,Single,8865,6,No,12,4,0,2,3,7
55,0.0,Travel_Rarely,Sales,1,College,Life Sciences,1,3,Sales Executive,4,Married,10239,3,No,14,4,1,4,3,0
34,0.0,Travel_Frequently,Research & Development,2,Below College,Life Sciences,4,2,Manufacturing Director,3,Married,9547,1,No,17,3,0,2,2,9
57,0.0,Travel_Rarely,Research & Development,1,College,Life Sciences,2,4,Research Scientist,3,Married,4900,0,No,24,1,1,2,2,9
33,0.0,Travel_Rarely,Research & Development,4,Master,Medical,3,2,Research Scientist,2,Married,2622,6,No,21,4,0,3,3,2
32,0.0,Non-Travel,Research & Development,1,Bachelor Degree,Life Sciences,4,3,Laboratory Technician,4,Divorced,2314,0,No,12,2,1,2,3,0
21,1.0,Travel_Frequently,Research & Development,10,College,Life Sciences,1,2,Laboratory Technician,3,Single,2625,1,No,20,3,0,2,1,2
34,1.0,Travel_Frequently,Sales,6,College,Marketing,4,1,Sales Representative,3,Divorced,2351,0,No,16,4,1,3,2,2
27,0.0,Travel_Frequently,Sales,20,Bachelor Degree,Life Sciences,4,3,Sales Executive,3,Single,9981,1,No,14,4,0,2,3,7
36,0.0,Travel_Rarely,Research & Development,6,Master,Life Sciences,3,1,Laboratory Technician,3,Divorced,2741,1,No,14,3,1,4,3,7
41,1.0,Travel_Rarely,Research & Development,12,Bachelor Degree,Technical Degree,2,3,Research Director,3,Married,19545,1,No,12,4,0,0,3,15
33,0.0,Travel_Frequently,Research & Development,6,Bachelor Degree,Life Sciences,3,3,Healthcare Representative,4,Divorced,7725,3,No,23,3,1,2,1,11
18,1.0,Non-Travel,Research & Development,8,Below College,Medical,3,3,Laboratory Technician,3,Single,1904,1,No,12,4,0,0,3,0
27,0.0,Travel_Rarely,Research & Development,9,Bachelor Degree,Medical,4,3,Research Scientist,2,Single,2279,1,No,16,4,0,2,2,7
22,0.0,Travel_Rarely,Research & Development,1,College,Life Sciences,4,2,Manufacturing Director,4,Married,4775,6,No,22,1,2,2,1,2
33,1.0,Travel_Rarely,Research & Development,14,Bachelor Degree,Medical,3,3,Laboratory Technician,4,Married,2436,5,Yes,13,3,1,2,1,4
42,0.0,Travel_Frequently,Research & Development,28,Master,Technical Degree,4,2,Healthcare Representative,4,Married,4523,0,No,11,4,3,4,4,5
29,0.0,Travel_Frequently,Research & Development,1,Master,Life Sciences,2,1,Research Scientist,4,Divorced,2720,1,No,18,4,1,5,3,7
35,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,4,2,Laboratory Technician,4,Married,5363,0,No,12,2,1,0,3,7
37,0.0,Non-Travel,Sales,9,Master,Medical,1,3,Sales Executive,2,Divorced,8834,1,No,13,4,1,6,3,5
52,1.0,Travel_Rarely,Sales,2,Below College,Marketing,1,1,Manager,4,Married,19845,1,No,15,4,1,3,3,14
31,0.0,Travel_Rarely,Sales,7,Bachelor Degree,Technical Degree,2,4,Sales Executive,4,Married,6929,4,No,11,2,1,3,2,7
29,0.0,Travel_Rarely,Sales,10,Bachelor Degree,Life Sciences,3,3,Sales Representative,3,Single,2642,1,No,11,3,0,6,3,0
32,1.0,Non-Travel,Sales,11,Master,Other,4,4,Sales Executive,3,Married,4707,8,No,12,4,0,2,3,2
35,0.0,Non-Travel,Research & Development,11,College,Medical,3,2,Healthcare Representative,1,Married,9884,2,Yes,13,3,1,3,3,0
43,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Life Sciences,3,1,Research Director,4,Married,19740,3,No,14,2,1,2,3,7
33,0.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Life Sciences,3,3,Research Scientist,4,Single,2500,0,No,14,1,0,2,4,1
37,0.0,Travel_Rarely,Sales,10,Master,Life Sciences,4,2,Sales Executive,4,Divorced,6694,2,Yes,14,3,3,5,3,0
27,1.0,Travel_Rarely,Research & Development,17,Master,Life Sciences,4,3,Research Scientist,3,Single,2394,1,Yes,13,4,0,2,3,2
28,0.0,Travel_Rarely,Research & Development,2,Below College,Life Sciences,1,2,Research Scientist,2,Married,3201,0,No,17,1,0,2,1,3
27,0.0,Travel_Frequently,Research & Development,10,College,Life Sciences,4,3,Manufacturing Director,1,Divorced,8793,1,No,21,3,2,4,2,7
37,0.0,Travel_Rarely,Sales,16,Master,Marketing,4,2,Sales Executive,3,Divorced,6334,4,No,19,4,2,2,3,0
27,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Life Sciences,4,2,Research Scientist,3,Married,2539,1,No,13,3,1,0,3,2
37,0.0,Travel_Frequently,Sales,4,Master,Marketing,1,3,Sales Representative,4,Divorced,2793,4,No,17,3,1,2,3,8
31,0.0,Travel_Rarely,Research & Development,24,Bachelor Degree,Medical,3,2,Healthcare Representative,1,Single,6812,1,No,19,2,0,2,3,9
48,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Life Sciences,4,2,Research Director,4,Single,18265,6,No,12,3,0,3,4,0
36,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Other,3,3,Manufacturing Director,2,Married,5228,0,No,15,1,1,2,3,7
37,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Life Sciences,4,2,Manufacturing Director,4,Married,6474,1,No,13,2,1,2,2,8
38,0.0,Travel_Rarely,Sales,1,Master,Life Sciences,1,2,Sales Executive,4,Single,8686,4,No,22,3,0,2,4,3
32,0.0,Travel_Rarely,Sales,13,Master,Life Sciences,2,3,Sales Executive,4,Divorced,4403,2,No,11,3,1,3,2,2
28,0.0,Travel_Rarely,Research & Development,10,Bachelor Degree,Other,3,3,Research Scientist,3,Single,3660,3,No,13,4,0,4,4,7
43,0.0,Travel_Frequently,Research & Development,28,Bachelor Degree,Medical,2,4,Research Scientist,3,Single,4739,4,No,12,4,0,2,3,2
30,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,4,3,Research Scientist,2,Married,3579,0,Yes,21,1,1,2,3,9
33,0.0,Non-Travel,Sales,17,Bachelor Degree,Life Sciences,4,3,Manager,3,Single,17444,1,No,11,4,0,2,3,8
43,0.0,Travel_Rarely,Research & Development,8,Bachelor Degree,Life Sciences,1,3,Manufacturing Director,2,Divorced,4765,4,No,21,3,1,2,4,0
42,0.0,Travel_Frequently,Research & Development,26,Doctor,Medical,1,3,Research Director,1,Married,13191,3,Yes,17,3,0,6,3,0
37,0.0,Travel_Rarely,Research & Development,10,Bachelor Degree,Medical,3,3,Laboratory Technician,1,Married,3452,6,No,20,2,1,3,3,4
24,0.0,Travel_Frequently,Sales,24,Bachelor Degree,Medical,4,3,Sales Representative,4,Married,2400,0,No,13,3,2,3,3,2
37,0.0,Non-Travel,Research & Development,25,Doctor,Medical,2,3,Research Scientist,3,Married,4449,3,Yes,15,1,2,2,3,11
37,0.0,Travel_Rarely,Sales,2,Bachelor Degree,Marketing,4,3,Sales Executive,3,Married,9602,4,Yes,11,3,1,3,2,0
40,0.0,Travel_Frequently,Research & Development,26,Bachelor Degree,Medical,2,3,Research Scientist,2,Divorced,5605,1,No,11,1,1,2,3,7
55,1.0,Travel_Rarely,Sales,2,Below College,Medical,3,3,Sales Executive,4,Single,5160,4,No,16,3,0,3,2,7
34,0.0,Travel_Rarely,Sales,15,College,Medical,3,3,Sales Executive,1,Single,6125,1,No,12,4,0,6,4,8
18,0.0,Travel_Rarely,Sales,10,Bachelor Degree,Medical,4,2,Sales Representative,3,Single,1200,1,No,12,1,0,2,3,0
41,0.0,Travel_Rarely,Sales,2,Master,Life Sciences,4,3,Manager,2,Single,16015,1,No,19,2,0,2,3,10
44,0.0,Travel_Frequently,Sales,1,Doctor,Marketing,1,3,Sales Executive,3,Married,4768,7,No,12,3,1,4,2,0
42,0.0,Travel_Rarely,Sales,8,Master,Marketing,3,3,Sales Executive,2,Married,6825,0,No,11,4,1,2,3,7
51,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Medical,4,3,Healthcare Representative,2,Single,13734,3,No,18,3,0,6,3,7
32,1.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Life Sciences,4,2,Laboratory Technician,3,Single,3730,0,Yes,14,4,0,2,1,2
31,0.0,Travel_Rarely,Sales,7,Bachelor Degree,Life Sciences,3,2,Manager,4,Divorced,11557,9,No,21,3,1,3,2,4
31,0.0,Travel_Frequently,Research & Development,1,Below College,Life Sciences,3,3,Manufacturing Director,1,Married,4148,1,No,12,3,1,1,3,3
30,1.0,Travel_Frequently,Research & Development,5,Bachelor Degree,Medical,2,3,Laboratory Technician,2,Single,2422,0,No,17,1,0,3,3,2
36,0.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Life Sciences,4,3,Research Scientist,3,Married,2543,4,No,13,2,1,3,3,2
28,0.0,Travel_Rarely,Research & Development,15,College,Life Sciences,1,3,Laboratory Technician,3,Divorced,2207,1,No,16,4,1,5,2,2
30,0.0,Travel_Rarely,Research & Development,20,Bachelor Degree,Other,3,3,Manufacturing Director,1,Married,9957,0,No,15,3,1,1,2,2
35,0.0,Travel_Rarely,Sales,2,Bachelor Degree,Marketing,4,3,Sales Representative,4,Married,2014,1,No,13,1,0,3,3,2
59,0.0,Travel_Rarely,Research & Development,18,Master,Medical,4,3,Manufacturing Director,4,Single,10512,6,No,12,4,0,6,2,7
39,0.0,Non-Travel,Research & Development,25,College,Life Sciences,3,3,Healthcare Representative,3,Married,10920,3,No,21,2,1,2,3,4
29,0.0,Travel_Frequently,Sales,2,College,Life Sciences,2,3,Sales Executive,4,Single,4554,1,No,18,1,0,3,2,7
34,1.0,Travel_Frequently,Human Resources,23,Bachelor Degree,Human Resources,2,3,Human Resources,1,Divorced,9950,9,Yes,15,3,3,2,3,2
36,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Technical Degree,3,3,Research Scientist,2,Single,4485,4,No,12,4,0,2,3,0
30,0.0,Travel_Rarely,Research & Development,5,Bachelor Degree,Technical Degree,4,3,Research Scientist,1,Divorced,3204,5,No,14,4,1,3,3,2
27,0.0,Travel_Rarely,Research & Development,5,Below College,Technical Degree,3,2,Research Director,4,Divorced,12808,1,Yes,16,2,1,3,3,8
43,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Life Sciences,3,3,Healthcare Representative,1,Married,9985,8,No,16,1,1,1,2,0
38,0.0,Travel_Rarely,Research & Development,15,College,Life Sciences,3,2,Research Director,4,Divorced,11510,0,Yes,14,2,1,3,3,10
31,0.0,Travel_Frequently,Sales,20,Bachelor Degree,Life Sciences,3,4,Sales Representative,4,Married,2791,0,No,12,1,1,4,3,2
30,0.0,Travel_Rarely,Sales,27,Doctor,Marketing,3,3,Sales Executive,4,Divorced,5304,7,No,23,4,1,2,2,7
44,0.0,Travel_Rarely,Sales,28,Bachelor Degree,Medical,4,4,Sales Executive,4,Married,13320,3,Yes,18,3,1,2,3,11
23,0.0,Travel_Rarely,Research & Development,9,Below College,Medical,2,3,Laboratory Technician,1,Married,2500,1,No,14,4,1,2,4,3
21,1.0,Travel_Rarely,Research & Development,10,Bachelor Degree,Life Sciences,3,2,Laboratory Technician,1,Single,1416,1,No,13,1,0,6,2,0
31,0.0,Travel_Rarely,Research & Development,11,Master,Life Sciences,4,3,Research Scientist,4,Married,2356,3,Yes,19,2,1,2,3,4
46,1.0,Travel_Rarely,Sales,9,Bachelor Degree,Marketing,1,3,Sales Executive,4,Divorced,10096,4,No,11,1,1,1,4,7
53,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Life Sciences,4,3,Laboratory Technician,4,Single,2450,2,No,17,4,0,4,3,2
49,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Technical Degree,3,3,Research Scientist,1,Married,3580,2,No,16,2,1,2,3,2
46,0.0,Travel_Rarely,Research & Development,8,Master,Life Sciences,4,2,Research Scientist,1,Divorced,4615,8,Yes,23,1,3,2,3,13
31,0.0,Travel_Rarely,Research & Development,12,Below College,Medical,3,3,Research Scientist,4,Married,3929,8,Yes,23,3,1,0,3,2
58,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,4,3,Research Director,1,Married,19701,3,Yes,21,3,1,3,3,8
34,0.0,Non-Travel,Sales,23,Master,Marketing,2,3,Sales Executive,3,Single,4568,0,No,20,3,0,2,3,5
35,0.0,Travel_Frequently,Research & Development,1,Bachelor Degree,Medical,2,3,Research Scientist,1,Married,2194,4,No,13,4,1,2,2,2
32,0.0,Travel_Rarely,Research & Development,5,College,Life Sciences,1,4,Research Scientist,2,Divorced,3298,0,Yes,12,4,2,5,2,2
35,0.0,Travel_Rarely,Research & Development,22,Bachelor Degree,Life Sciences,4,1,Laboratory Technician,3,Single,4230,0,No,15,3,0,2,3,4
19,0.0,Travel_Rarely,Research & Development,25,Bachelor Degree,Life Sciences,2,4,Research Scientist,4,Single,2994,1,Yes,12,4,0,2,3,0
28,0.0,Travel_Rarely,Sales,5,Bachelor Degree,Medical,4,3,Sales Executive,1,Single,8463,0,No,18,4,0,4,3,4
32,1.0,Travel_Rarely,Sales,4,Master,Medical,4,1,Sales Executive,4,Married,10400,1,No,11,3,0,2,2,8
43,0.0,Travel_Frequently,Research & Development,1,Bachelor Degree,Life Sciences,4,3,Healthcare Representative,4,Married,5562,4,No,13,2,1,2,2,2
37,0.0,Travel_Rarely,Research & Development,25,College,Medical,3,2,Healthcare Representative,4,Divorced,5731,7,No,13,3,2,2,3,2
38,0.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,4,3,Manufacturing Director,3,Married,6553,9,No,14,2,0,3,3,0
30,0.0,Travel_Rarely,Human Resources,9,Bachelor Degree,Human Resources,3,3,Human Resources,4,Married,6347,0,Yes,19,4,0,2,1,9
53,0.0,Travel_Rarely,Sales,6,College,Marketing,2,3,Sales Representative,3,Married,2306,2,Yes,20,4,1,3,1,7
42,0.0,Travel_Rarely,Sales,1,Below College,Life Sciences,2,3,Sales Executive,3,Married,4907,1,No,25,3,0,3,3,16
30,0.0,Travel_Frequently,Research & Development,3,Bachelor Degree,Medical,3,3,Research Scientist,3,Divorced,2083,1,No,20,3,1,2,3,0
25,1.0,Travel_Rarely,Sales,19,College,Marketing,3,2,Sales Representative,2,Married,2413,1,Yes,18,3,3,2,3,0
53,0.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Medical,4,4,Research Director,2,Single,16598,4,No,12,2,0,2,2,8
29,0.0,Travel_Rarely,Sales,10,Bachelor Degree,Marketing,4,3,Sales Representative,2,Divorced,2297,1,No,14,4,2,2,3,2
42,1.0,Travel_Frequently,Sales,12,Bachelor Degree,Life Sciences,3,3,Sales Executive,1,Single,13758,0,Yes,12,2,0,2,2,9
34,0.0,Travel_Frequently,Research & Development,16,Master,Life Sciences,3,2,Research Scientist,4,Single,2553,1,No,16,3,0,3,3,2
28,0.0,Travel_Rarely,Human Resources,8,College,Medical,2,2,Human Resources,4,Divorced,4936,1,No,13,4,1,6,3,1
43,0.0,Travel_Rarely,Sales,16,Bachelor Degree,Marketing,4,3,Manager,4,Married,16064,5,Yes,22,3,1,3,3,13
37,0.0,Travel_Rarely,Sales,6,Master,Medical,3,3,Sales Executive,4,Married,6502,4,No,14,2,1,5,4,4
44,0.0,Travel_Rarely,Human Resources,1,Master,Life Sciences,1,2,Human Resources,3,Single,5985,4,No,11,2,0,1,4,2
34,0.0,Non-Travel,Research & Development,26,Below College,Technical Degree,1,2,Research Scientist,3,Divorced,2029,1,No,20,3,3,2,3,4
28,0.0,Travel_Rarely,Sales,9,Master,Life Sciences,2,3,Sales Executive,4,Single,5253,1,No,16,4,0,1,3,5
40,0.0,Travel_Rarely,Sales,26,Bachelor Degree,Marketing,3,3,Sales Executive,1,Married,8396,1,No,14,2,1,3,2,7
34,0.0,Travel_Rarely,Sales,8,College,Life Sciences,3,3,Sales Executive,1,Married,6500,5,No,17,2,1,1,3,2
44,0.0,Travel_Rarely,Research & Development,4,Bachelor Degree,Medical,4,3,Healthcare Representative,2,Single,5933,9,No,12,4,0,2,2,2
25,0.0,Travel_Rarely,Research & Development,2,Below College,Medical,1,4,Research Scientist,1,Single,3424,7,No,13,3,0,3,2,3
34,1.0,Travel_Rarely,Research & Development,6,Below College,Medical,2,3,Research Scientist,1,Single,2960,2,No,11,3,0,2,3,2
60,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Life Sciences,1,3,Manager,1,Married,19566,5,No,11,4,0,5,1,8
32,0.0,Travel_Rarely,Sales,7,Doctor,Marketing,4,3,Sales Executive,4,Married,9204,4,No,12,3,1,3,2,3
36,0.0,Travel_Rarely,Research & Development,7,Master,Other,2,3,Research Scientist,4,Single,4678,2,No,18,3,0,6,3,2
32,0.0,Non-Travel,Research & Development,29,Master,Medical,4,3,Laboratory Technician,3,Single,4025,9,No,12,2,0,2,3,7
42,0.0,Travel_Rarely,Human Resources,10,Bachelor Degree,Human Resources,3,3,Manager,1,Married,16799,0,No,14,3,1,5,3,7
40,1.0,Travel_Rarely,Sales,22,College,Marketing,3,2,Sales Executive,3,Married,6380,2,Yes,12,1,2,6,3,4
25,1.0,Travel_Rarely,Sales,5,Bachelor Degree,Marketing,3,2,Sales Executive,3,Single,5744,1,Yes,11,4,0,1,3,4
24,0.0,Travel_Rarely,Research & Development,18,Below College,Life Sciences,2,3,Laboratory Technician,3,Married,2774,0,No,12,3,1,2,3,3
35,0.0,Travel_Rarely,Research & Development,21,Below College,Life Sciences,4,3,Healthcare Representative,4,Married,4014,1,Yes,25,4,1,2,1,6
48,0.0,Travel_Rarely,Sales,2,Below College,Marketing,2,4,Sales Executive,2,Married,8120,3,No,12,4,0,3,3,2
50,0.0,Travel_Rarely,Research & Development,1,College,Medical,4,3,Research Director,4,Divorced,17399,9,No,22,3,1,1,2,4
54,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Life Sciences,4,3,Research Director,4,Married,17779,3,No,14,1,0,2,3,9
30,0.0,Travel_Rarely,Sales,2,Below College,Technical Degree,3,3,Sales Representative,2,Married,2476,1,No,18,1,1,3,3,0
31,1.0,Travel_Rarely,Sales,20,Bachelor Degree,Life Sciences,2,1,Sales Executive,3,Married,4559,3,Yes,11,3,1,2,3,2
39,1.0,Travel_Rarely,Sales,3,College,Medical,4,3,Sales Executive,3,Married,5238,4,Yes,18,1,0,3,2,0
51,1.0,Travel_Frequently,Research & Development,8,Master,Life Sciences,1,1,Manufacturing Director,4,Single,10650,2,No,15,4,0,2,3,2
